# KEGG pathway classes from BRITE br08901, fetched 2026-08-26 from https://rest.kegg.jp/get/br:br08901
# class / subclass are KEGG's own; nothing here is curated by hand
# is_non_bacterial = class in ['Organismal Systems', 'Human Diseases', 'Drug Development']
#   these maps cannot describe a bacterium; eggNOG reaches them
#   through KOs shared with eukaryote-specific pathways
# is_overview     = subclass is 'Global and overview maps'
#   supersets, not pathways - ko01100 alone covers ~46% of the
#   KEGG-annotated proteome
# 587 maps, 268 non-bacterial, 13 overview
pathway_id	class	subclass	name	is_non_bacterial	is_overview
ko05207	Human Diseases	Cancer: overview	Chemical carcinogenesis - receptor activation	yes	no
ko05208	Human Diseases	Cancer: overview	Chemical carcinogenesis - reactive oxygen species	yes	no
ko05203	Human Diseases	Cancer: overview	Viral carcinogenesis	yes	no
ko05230	Human Diseases	Cancer: overview	Central carbon metabolism in cancer	yes	no
ko05231	Human Diseases	Cancer: overview	Choline metabolism in cancer	yes	no
ko05235	Human Diseases	Cancer: overview	PD-L1 expression and PD-1 checkpoint pathway in cancer	yes	no
ko05210	Human Diseases	Cancer: specific types	Colorectal cancer	yes	no
ko05212	Human Diseases	Cancer: specific types	Pancreatic cancer	yes	no
ko05225	Human Diseases	Cancer: specific types	Hepatocellular carcinoma	yes	no
ko05226	Human Diseases	Cancer: specific types	Gastric cancer	yes	no
ko05214	Human Diseases	Cancer: specific types	Glioma	yes	no
ko05216	Human Diseases	Cancer: specific types	Thyroid cancer	yes	no
ko05221	Human Diseases	Cancer: specific types	Acute myeloid leukemia	yes	no
ko05220	Human Diseases	Cancer: specific types	Chronic myeloid leukemia	yes	no
ko05217	Human Diseases	Cancer: specific types	Basal cell carcinoma	yes	no
ko05218	Human Diseases	Cancer: specific types	Melanoma	yes	no
ko05211	Human Diseases	Cancer: specific types	Renal cell carcinoma	yes	no
ko05219	Human Diseases	Cancer: specific types	Bladder cancer	yes	no
ko05215	Human Diseases	Cancer: specific types	Prostate cancer	yes	no
ko05213	Human Diseases	Cancer: specific types	Endometrial cancer	yes	no
ko05224	Human Diseases	Cancer: specific types	Breast cancer	yes	no
ko05222	Human Diseases	Cancer: specific types	Small cell lung cancer	yes	no
ko05223	Human Diseases	Cancer: specific types	Non-small cell lung cancer	yes	no
ko05166	Human Diseases	Infectious disease: viral	Human T-cell leukemia virus 1 infection	yes	no
ko05170	Human Diseases	Infectious disease: viral	Human immunodeficiency virus 1 infection	yes	no
ko05161	Human Diseases	Infectious disease: viral	Hepatitis B	yes	no
ko05160	Human Diseases	Infectious disease: viral	Hepatitis C	yes	no
ko05171	Human Diseases	Infectious disease: viral	Coronavirus disease	yes	no
ko05164	Human Diseases	Infectious disease: viral	Influenza A	yes	no
ko05162	Human Diseases	Infectious disease: viral	Measles	yes	no
ko05168	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection	yes	no
ko05163	Human Diseases	Infectious disease: viral	Human cytomegalovirus infection	yes	no
ko05167	Human Diseases	Infectious disease: viral	Kaposi sarcoma-associated herpesvirus infection	yes	no
ko05169	Human Diseases	Infectious disease: viral	Epstein-Barr virus infection	yes	no
ko05165	Human Diseases	Infectious disease: viral	Human papillomavirus infection	yes	no
ko05110	Human Diseases	Infectious disease: bacterial	Vibrio cholerae infection	yes	no
ko05120	Human Diseases	Infectious disease: bacterial	Epithelial cell signaling in Helicobacter pylori infection	yes	no
ko05130	Human Diseases	Infectious disease: bacterial	Pathogenic Escherichia coli infection	yes	no
ko05132	Human Diseases	Infectious disease: bacterial	Salmonella infection	yes	no
ko05131	Human Diseases	Infectious disease: bacterial	Shigellosis	yes	no
ko05135	Human Diseases	Infectious disease: bacterial	Yersinia infection	yes	no
ko05133	Human Diseases	Infectious disease: bacterial	Pertussis	yes	no
ko05134	Human Diseases	Infectious disease: bacterial	Legionellosis	yes	no
ko05150	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection	yes	no
ko05152	Human Diseases	Infectious disease: bacterial	Tuberculosis	yes	no
ko05100	Human Diseases	Infectious disease: bacterial	Bacterial invasion of epithelial cells	yes	no
ko05146	Human Diseases	Infectious disease: parasitic	Amoebiasis	yes	no
ko05144	Human Diseases	Infectious disease: parasitic	Malaria	yes	no
ko05145	Human Diseases	Infectious disease: parasitic	Toxoplasmosis	yes	no
ko05140	Human Diseases	Infectious disease: parasitic	Leishmaniasis	yes	no
ko05142	Human Diseases	Infectious disease: parasitic	Chagas disease	yes	no
ko05143	Human Diseases	Infectious disease: parasitic	African trypanosomiasis	yes	no
ko05310	Human Diseases	Immune disease	Asthma	yes	no
ko05322	Human Diseases	Immune disease	Systemic lupus erythematosus	yes	no
ko05323	Human Diseases	Immune disease	Rheumatoid arthritis	yes	no
ko05320	Human Diseases	Immune disease	Autoimmune thyroid disease	yes	no
ko05321	Human Diseases	Immune disease	Inflammatory bowel disease	yes	no
ko05330	Human Diseases	Immune disease	Allograft rejection	yes	no
ko05332	Human Diseases	Immune disease	Graft-versus-host disease	yes	no
ko05340	Human Diseases	Immune disease	Primary immunodeficiency	yes	no
ko05010	Human Diseases	Neurodegenerative disease	Alzheimer disease	yes	no
ko05012	Human Diseases	Neurodegenerative disease	Parkinson disease	yes	no
ko05014	Human Diseases	Neurodegenerative disease	Amyotrophic lateral sclerosis	yes	no
ko05016	Human Diseases	Neurodegenerative disease	Huntington disease	yes	no
ko05017	Human Diseases	Neurodegenerative disease	Spinocerebellar ataxia	yes	no
ko05020	Human Diseases	Neurodegenerative disease	Prion disease	yes	no
ko05022	Human Diseases	Neurodegenerative disease	Pathways of neurodegeneration - multiple diseases	yes	no
ko05030	Human Diseases	Substance dependence	Cocaine addiction	yes	no
ko05031	Human Diseases	Substance dependence	Amphetamine addiction	yes	no
ko05032	Human Diseases	Substance dependence	Morphine addiction	yes	no
ko05033	Human Diseases	Substance dependence	Nicotine addiction	yes	no
ko05034	Human Diseases	Substance dependence	Alcoholism	yes	no
ko05417	Human Diseases	Cardiovascular disease	Lipid and atherosclerosis	yes	no
ko05418	Human Diseases	Cardiovascular disease	Fluid shear stress and atherosclerosis	yes	no
ko05410	Human Diseases	Cardiovascular disease	Hypertrophic cardiomyopathy	yes	no
ko05412	Human Diseases	Cardiovascular disease	Arrhythmogenic right ventricular cardiomyopathy	yes	no
ko05414	Human Diseases	Cardiovascular disease	Dilated cardiomyopathy	yes	no
ko05415	Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy	yes	no
ko05416	Human Diseases	Cardiovascular disease	Viral myocarditis	yes	no
ko04930	Human Diseases	Endocrine and metabolic disease	Type II diabetes mellitus	yes	no
ko04940	Human Diseases	Endocrine and metabolic disease	Type I diabetes mellitus	yes	no
ko04950	Human Diseases	Endocrine and metabolic disease	Maturity onset diabetes of the young	yes	no
ko04936	Human Diseases	Endocrine and metabolic disease	Alcoholic liver disease	yes	no
ko04932	Human Diseases	Endocrine and metabolic disease	Non-alcoholic fatty liver disease	yes	no
ko04931	Human Diseases	Endocrine and metabolic disease	Insulin resistance	yes	no
ko04933	Human Diseases	Endocrine and metabolic disease	AGE-RAGE signaling pathway in diabetic complications	yes	no
ko04934	Human Diseases	Endocrine and metabolic disease	Cushing syndrome	yes	no
ko01501	Human Diseases	Drug resistance: antimicrobial	beta-Lactam resistance	yes	no
ko01502	Human Diseases	Drug resistance: antimicrobial	Vancomycin resistance	yes	no
ko01503	Human Diseases	Drug resistance: antimicrobial	Cationic antimicrobial peptide (CAMP) resistance	yes	no
ko01521	Human Diseases	Drug resistance: antineoplastic	EGFR tyrosine kinase inhibitor resistance	yes	no
ko01524	Human Diseases	Drug resistance: antineoplastic	Platinum drug resistance	yes	no
ko01523	Human Diseases	Drug resistance: antineoplastic	Antifolate resistance	yes	no
ko01522	Human Diseases	Drug resistance: antineoplastic	Endocrine resistance	yes	no
ko07011	Drug Development	Chronology: Antiinfectives	Penicillins	yes	no
ko07012	Drug Development	Chronology: Antiinfectives	Cephalosporins - parenteral agents	yes	no
ko07013	Drug Development	Chronology: Antiinfectives	Cephalosporins - oral agents	yes	no
ko07021	Drug Development	Chronology: Antiinfectives	Aminoglycosides	yes	no
ko07019	Drug Development	Chronology: Antiinfectives	Tetracyclines	yes	no
ko07020	Drug Development	Chronology: Antiinfectives	Macrolides and ketolides	yes	no
ko07014	Drug Development	Chronology: Antiinfectives	Quinolones	yes	no
ko07023	Drug Development	Chronology: Antiinfectives	Rifamycins	yes	no
ko07026	Drug Development	Chronology: Antiinfectives	Antifungal agents	yes	no
ko07044	Drug Development	Chronology: Antiinfectives	Antiviral agents	yes	no
ko07053	Drug Development	Chronology: Antiinfectives	Anti-HIV agents	yes	no
ko07040	Drug Development	Chronology: Antineoplastics	Antineoplastics - alkylating agents	yes	no
ko07041	Drug Development	Chronology: Antineoplastics	Antineoplastics - antimetabolic agents	yes	no
ko07042	Drug Development	Chronology: Antineoplastics	Antineoplastics - agents from natural products	yes	no
ko07043	Drug Development	Chronology: Antineoplastics	Antineoplastics - hormones	yes	no
ko07045	Drug Development	Chronology: Antineoplastics	Antineoplastics - protein kinase inhibitors	yes	no
ko07032	Drug Development	Chronology: Nervous system agents	Hypnotics	yes	no
ko07030	Drug Development	Chronology: Nervous system agents	Anxiolytics	yes	no
ko07033	Drug Development	Chronology: Nervous system agents	Anticonvulsants	yes	no
ko07015	Drug Development	Chronology: Nervous system agents	Local analgesics	yes	no
ko07039	Drug Development	Chronology: Nervous system agents	Opioid analgesics	yes	no
ko07028	Drug Development	Chronology: Nervous system agents	Antipsychotics	yes	no
ko07029	Drug Development	Chronology: Nervous system agents	Antipsychotics - phenothiazines	yes	no
ko07031	Drug Development	Chronology: Nervous system agents	Antipsychotics - butyrophenones	yes	no
ko07027	Drug Development	Chronology: Nervous system agents	Antidepressants	yes	no
ko07056	Drug Development	Chronology: Nervous system agents	Agents for Alzheimer-type dementia	yes	no
ko07057	Drug Development	Chronology: Nervous system agents	Antiparkinsonian agents	yes	no
ko07055	Drug Development	Chronology: Other drugs	Sulfonamide derivatives - overview	yes	no
ko07016	Drug Development	Chronology: Other drugs	Sulfonamide derivatives - sulfa drugs	yes	no
ko07017	Drug Development	Chronology: Other drugs	Sulfonamide derivatives - diuretics	yes	no
ko07018	Drug Development	Chronology: Other drugs	Sulfonamide derivatives - hypoglycemic agents	yes	no
ko07037	Drug Development	Chronology: Other drugs	Antiarrhythmic drugs	yes	no
ko07038	Drug Development	Chronology: Other drugs	Antiulcer drugs	yes	no
ko07046	Drug Development	Chronology: Other drugs	Immunosuppressive agents	yes	no
ko07047	Drug Development	Chronology: Other drugs	Osteoporosis drugs	yes	no
ko07048	Drug Development	Chronology: Other drugs	Antimigraines	yes	no
ko07049	Drug Development	Chronology: Other drugs	Antithrombosis agents	yes	no
ko07050	Drug Development	Chronology: Other drugs	Antirheumatics - DMARDs and biological agents	yes	no
ko07051	Drug Development	Chronology: Other drugs	Antidiabetics	yes	no
ko07052	Drug Development	Chronology: Other drugs	Antidyslipidemic agents	yes	no
ko07054	Drug Development	Chronology: Other drugs	Antiglaucoma agents	yes	no
ko07220	Drug Development	Target-based classification: G protein-coupled receptors	Cholinergic and anticholinergic drugs	yes	no
ko07215	Drug Development	Target-based classification: G protein-coupled receptors	alpha-Adrenergic receptor agonists/antagonists	yes	no
ko07214	Drug Development	Target-based classification: G protein-coupled receptors	beta-Adrenergic receptor agonists/antagonists	yes	no
ko07213	Drug Development	Target-based classification: G protein-coupled receptors	Dopamine receptor agonists/antagonists	yes	no
ko07212	Drug Development	Target-based classification: G protein-coupled receptors	Histamine H1 receptor antagonists	yes	no
ko07227	Drug Development	Target-based classification: G protein-coupled receptors	Histamine H2/H3 receptor agonists/antagonists	yes	no
ko07211	Drug Development	Target-based classification: G protein-coupled receptors	Serotonin receptor agonists/antagonists	yes	no
ko07228	Drug Development	Target-based classification: G protein-coupled receptors	Eicosanoid receptor agonists/antagonists	yes	no
ko07224	Drug Development	Target-based classification: G protein-coupled receptors	Opioid receptor agonists/antagonists	yes	no
ko07229	Drug Development	Target-based classification: G protein-coupled receptors	Angiotensin receptor and endothelin receptor antagonists	yes	no
ko07225	Drug Development	Target-based classification: Nuclear receptors	Glucocorticoid and mineralocorticoid receptor agonists/antagonists	yes	no
ko07226	Drug Development	Target-based classification: Nuclear receptors	Progesterone, androgen and estrogen receptor agonists/antagonists	yes	no
ko07223	Drug Development	Target-based classification: Nuclear receptors	Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists	yes	no
ko07222	Drug Development	Target-based classification: Nuclear receptors	Peroxisome proliferator-activated receptor (PPAR) agonists	yes	no
ko07221	Drug Development	Target-based classification: Ion channels	Nicotinic cholinergic receptor antagonists	yes	no
ko07230	Drug Development	Target-based classification: Ion channels	GABA-A receptor agonists/antagonists	yes	no
ko07036	Drug Development	Target-based classification: Ion channels	Calcium channel blocking drugs	yes	no
ko07231	Drug Development	Target-based classification: Ion channels	Sodium channel blocking drugs	yes	no
ko07232	Drug Development	Target-based classification: Ion channels	Potassium channel blocking and opening drugs	yes	no
ko07235	Drug Development	Target-based classification: Ion channels	N-Methyl-D-aspartic acid (NMDA) receptor antagonists	yes	no
ko07233	Drug Development	Target-based classification: Transporters	Ion transporter inhibitors	yes	no
ko07234	Drug Development	Target-based classification: Transporters	Neurotransmitter transporter inhibitors	yes	no
ko07216	Drug Development	Target-based classification: Enzymes	Catecholamine transferase inhibitors	yes	no
ko07219	Drug Development	Target-based classification: Enzymes	Cyclooxygenase inhibitors	yes	no
ko07024	Drug Development	Target-based classification: Enzymes	HMG-CoA reductase inhibitors	yes	no
ko07217	Drug Development	Target-based classification: Enzymes	Renin-angiotensin system inhibitors	yes	no
ko07218	Drug Development	Target-based classification: Enzymes	HIV protease inhibitors	yes	no
ko07025	Drug Development	Structure-based classification	Quinolines	yes	no
ko07034	Drug Development	Structure-based classification	Eicosanoids	yes	no
ko07035	Drug Development	Structure-based classification	Prostaglandins	yes	no
ko07110	Drug Development	Skeleton-based classification	Benzoic acid family	yes	no
ko07112	Drug Development	Skeleton-based classification	1,2-Diphenyl substitution family	yes	no
ko07114	Drug Development	Skeleton-based classification	Naphthalene family	yes	no
ko07117	Drug Development	Skeleton-based classification	Benzodiazepine family	yes	no
