MF6_003686	MF7|BMF7_NODE_3_len_857810_cov_35_9645_ID_6095484.64	100.000	120	1	120	409010	409369	3.16e-78	256	100	120
MF6_003686	MF6|cluster_003_consensus	100.000	120	1	120	368439	368080	3.16e-78	256	100	120
MF6_003686	GCF_905400185.1|NZ_FR989677.1	100.000	120	1	120	528666	528307	3.16e-78	256	100	120
MF6_003686	GCF_016899425.1|NZ_CP045996.1	99.167	120	1	120	598185	597826	2.56e-77	254	100	120
MF6_003686	GCF_053209605.1|NZ_CP199987.1	89.916	119	2	120	350260	349907	3.67e-66	222	99	120
MF6_003686	GCF_053038975.1|NZ_CP199961.1	89.916	119	2	120	350260	349907	3.67e-66	222	99	120
MF6_003686	GCF_030374675.1|NZ_CP126322.1	90.217	92	30	120	720682	720407	1.65e-49	174	76	120
MF6_003686	GCF_040735455.1|NZ_CP136805.1	90.217	92	30	120	722542	722267	1.65e-49	174	76	120
MF6_003686	GCF_045345775.1|NZ_CP174278.1	90.217	92	30	120	876323	876048	1.65e-49	174	76	120
MF6_003686	GCF_965199835.1|NZ_OZ241393.1	69.737	76	46	120	992633	992406	4.12e-26	107	63	120
MF6_003686	GCA_965199775.1|OZ241381.1	69.737	76	46	120	3935656	3935883	4.12e-26	107	63	120
MF6_003686	GCF_965201125.1|NZ_OZ241753.1	69.737	76	46	120	1230730	1230503	4.12e-26	107	63	120
MF6_003686	GCF_000959245.1|NZ_CP009488.1	67.105	76	45	119	3085215	3084988	7.60e-26	107	63	120
MF6_003686	GCF_000959265.1|NZ_CP009535.1	58.889	90	31	119	3275095	3274829	3.71e-23	99.4	74	120
MF6_003686	GCF_002111085.1|NZ_CP018373.1	58.889	90	31	119	354528	354794	3.71e-23	99.4	74	120
MF6_003686	GCF_002111305.1|NZ_CP018416.1	58.889	90	31	119	2264039	2263773	3.71e-23	99.4	74	120
MF6_003686	GCF_002110945.1|NZ_CP018380.1	58.889	90	31	119	3927974	3927708	3.71e-23	99.4	74	120
MF6_003686	GCF_001522105.2|NZ_CP013357.1	70.213	47	75	120	1834134	1833994	5.28e-17	70.9	38	120
MF6_003686	GCF_001522105.2|NZ_CP013357.1	58.824	34	46	79	1834220	1834122	5.28e-17	38.9	28	120
MF6_003686	GCF_016027435.1|NZ_CP065683.1	70.213	47	75	120	3621979	3621839	5.28e-17	70.9	38	120
MF6_003686	GCF_016027435.1|NZ_CP065683.1	58.824	34	46	79	3622065	3621967	5.28e-17	38.9	28	120
MF6_003686	GCF_000755985.1|NZ_CP008726.1	70.213	47	75	120	1848638	1848778	5.28e-17	70.9	38	120
MF6_003686	GCF_000755985.1|NZ_CP008726.1	58.824	34	46	79	1848552	1848650	5.28e-17	38.9	28	120
MF6_003686	GCF_029633645.1|NZ_CP090634.1	35.294	119	3	120	821901	822254	5.49e-11	64.7	98	120
MF6_003686	GCF_003704285.1|NZ_CP013392.1	35.294	119	3	120	149579	149226	5.49e-11	64.7	98	120
MF6_003686	GCF_001029145.1|NZ_CP009744.1	40.000	95	30	119	971849	971565	1.39e-10	63.5	75	120
MF6_003686	GCF_029633645.1|NZ_CP090632.1	40.000	95	30	119	106937	107221	1.39e-10	63.5	75	120
MF6_003686	GCF_003704285.1|NZ_CP013390.1	40.000	95	30	119	427621	427337	1.39e-10	63.5	75	120
MF6_003686	GCF_025643515.1|NZ_CP102462.1	40.000	95	30	119	458435	458151	1.39e-10	63.5	75	120
MF6_003686	GCF_047902435.1|NZ_CP138379.1	45.333	75	51	119	2543530	2543754	2.64e-10	62.8	58	120
MF6_003686	GCF_024600575.1|NZ_CP102330.1	45.333	75	51	119	2138506	2138282	2.64e-10	62.8	58	120
MF6_003686	GCF_001718395.1|NZ_CP013376.1	45.333	75	51	119	2751975	2751751	2.64e-10	62.8	58	120
MF6_003686	GCF_047497155.1|NZ_CP163162.1	44.304	79	42	120	3363612	3363412	8.38e-10	61.2	66	120
MF6_003686	GCF_964264985.1|NZ_OZ183794.1	45.946	74	48	120	660383	660165	1.53e-09	60.5	61	120
MF6_003686	GCF_024661975.1|NZ_CP102484.1	46.479	71	51	120	616643	616852	2.63e-09	59.7	58	120
MF6_003686	GCF_033675325.1|NZ_QXCU01000002.1	56.250	48	51	98	1882232	1882089	3.02e-09	59.7	40	120
MF6_003686	GCF_014854795.1|NZ_CP032011.1	56.250	48	51	98	561129	560986	3.02e-09	59.7	40	120
MF6_003686	GCF_001029145.1|NZ_CP009745.1	46.479	71	51	120	1525153	1525362	4.15e-09	59.3	58	120
MF6_003686	GCF_001742165.1|NZ_CP016442.1	50.980	51	48	98	896457	896305	4.47e-08	56.2	43	120
MF6_003686	GCF_001522135.2|NZ_CP013358.1	49.180	61	46	99	1781737	1781576	3.84e-07	53.5	45	120
MF6_003686	GCF_000959365.1|NZ_CP009555.1	49.180	61	46	99	3444056	3443895	3.84e-07	53.5	45	120
MF6_003686	GCF_964264995.1|NZ_OZ183797.1	35.849	106	12	114	2114908	2114591	5.24e-07	53.1	86	120
MF6_003686	GCF_964265005.1|NZ_OZ183799.1	35.849	106	12	114	2114947	2114630	5.24e-07	53.1	86	120
