family	n_genomes	n_members	is_core	is_single_copy_core	genomes	members
GCF_016899425.1|KEDGBJ_05955	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05955;GCF_053038975.1|AHCKDM_06781;GCF_053209605.1|GFFINM_06784;GCF_905400185.1|DKPOPA_07018;MF6|CFFIHE_04209;MF7|EFEKAH_00111
GCF_016899425.1|KEDGBJ_05956	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05956;GCF_053038975.1|AHCKDM_06783;GCF_053209605.1|GFFINM_06786;GCF_905400185.1|DKPOPA_07019;MF6|CFFIHE_04210;MF7|EFEKAH_00110
GCF_016899425.1|KEDGBJ_05957	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05957;GCF_053038975.1|AHCKDM_06784;GCF_053209605.1|GFFINM_06787;GCF_905400185.1|DKPOPA_07020;MF6|CFFIHE_04211;MF7|EFEKAH_00109
GCF_016899425.1|KEDGBJ_05958	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05958;GCF_053038975.1|AHCKDM_06785;GCF_053209605.1|GFFINM_06788;GCF_905400185.1|DKPOPA_07021;MF6|CFFIHE_04212;MF7|EFEKAH_00108
GCF_016899425.1|KEDGBJ_05959	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05959;GCF_053038975.1|AHCKDM_06786;GCF_053209605.1|GFFINM_06789;GCF_905400185.1|DKPOPA_07022;MF6|CFFIHE_04213;MF7|EFEKAH_00107
GCF_016899425.1|KEDGBJ_05960	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05960;GCF_053038975.1|AHCKDM_06787;GCF_053209605.1|GFFINM_06790;GCF_905400185.1|DKPOPA_07023;MF6|CFFIHE_04214;MF7|EFEKAH_00106
GCF_016899425.1|KEDGBJ_05962	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05962;GCF_053038975.1|AHCKDM_06789;GCF_053209605.1|GFFINM_06792;GCF_905400185.1|DKPOPA_07025;MF6|CFFIHE_04216;MF7|EFEKAH_00104
GCF_016899425.1|KEDGBJ_05963	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05963;GCF_053038975.1|AHCKDM_06790;GCF_053209605.1|GFFINM_06793;GCF_905400185.1|DKPOPA_07026;MF6|CFFIHE_04217;MF7|EFEKAH_00103
GCF_016899425.1|KEDGBJ_05965	4	4	0	0	GCF_016899425.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05965;GCF_905400185.1|DKPOPA_07028;MF6|CFFIHE_04219;MF7|EFEKAH_00101
GCF_016899425.1|KEDGBJ_05967	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05967;GCF_053038975.1|AHCKDM_06671;GCF_053209605.1|GFFINM_06674;GCF_905400185.1|DKPOPA_07030;MF6|CFFIHE_04221;MF7|EFEKAH_00099
GCF_016899425.1|KEDGBJ_05968	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05968;GCF_053038975.1|AHCKDM_06672;GCF_053209605.1|GFFINM_06675;GCF_905400185.1|DKPOPA_07031;MF6|CFFIHE_04222;MF7|EFEKAH_00098
GCF_016899425.1|KEDGBJ_05969	6	7	1	0	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05969;GCF_053038975.1|AHCKDM_06673;GCF_053209605.1|GFFINM_06676;GCF_905400185.1|DKPOPA_06220;GCF_905400185.1|DKPOPA_07032;MF6|CFFIHE_04223;MF7|EFEKAH_00097
GCF_016899425.1|KEDGBJ_05970	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05970;GCF_053038975.1|AHCKDM_06674;GCF_053209605.1|GFFINM_06677;GCF_905400185.1|DKPOPA_07033;MF6|CFFIHE_04224;MF7|EFEKAH_00096
GCF_016899425.1|KEDGBJ_05972	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05972;GCF_053038975.1|AHCKDM_06676;GCF_053209605.1|GFFINM_06679;GCF_905400185.1|DKPOPA_07035;MF6|CFFIHE_04226;MF7|EFEKAH_00094
GCF_016899425.1|KEDGBJ_05973	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05973;GCF_053038975.1|AHCKDM_06677;GCF_053209605.1|GFFINM_06680;GCF_905400185.1|DKPOPA_07036;MF6|CFFIHE_04227;MF7|EFEKAH_00093
GCF_016899425.1|KEDGBJ_05974	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05974;GCF_053038975.1|AHCKDM_06678;GCF_053209605.1|GFFINM_06681;GCF_905400185.1|DKPOPA_07037;MF6|CFFIHE_04228;MF7|EFEKAH_00092
GCF_016899425.1|KEDGBJ_05976	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05976;GCF_053038975.1|AHCKDM_06680;GCF_053209605.1|GFFINM_06683;GCF_905400185.1|DKPOPA_07039;MF6|CFFIHE_04230;MF7|EFEKAH_00090
GCF_016899425.1|KEDGBJ_05977	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05977;GCF_053038975.1|AHCKDM_06681;GCF_053209605.1|GFFINM_06684;GCF_905400185.1|DKPOPA_07040;MF6|CFFIHE_04231;MF7|EFEKAH_00089
GCF_016899425.1|KEDGBJ_05978	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05978;GCF_053038975.1|AHCKDM_06682;GCF_053209605.1|GFFINM_06685;GCF_905400185.1|DKPOPA_07041;MF6|CFFIHE_04232;MF7|EFEKAH_00088
GCF_016899425.1|KEDGBJ_05979	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05979;GCF_053038975.1|AHCKDM_06683;GCF_053209605.1|GFFINM_06686;GCF_905400185.1|DKPOPA_07042;MF6|CFFIHE_04233;MF7|EFEKAH_00087
GCF_016899425.1|KEDGBJ_05980	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05980;GCF_053038975.1|AHCKDM_06684;GCF_053209605.1|GFFINM_06687;GCF_905400185.1|DKPOPA_07043;MF6|CFFIHE_04234;MF7|EFEKAH_00086
GCF_016899425.1|KEDGBJ_05982	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05982;GCF_053038975.1|AHCKDM_06686;GCF_053209605.1|GFFINM_06689;GCF_905400185.1|DKPOPA_07045;MF6|CFFIHE_04236;MF7|EFEKAH_00084
GCF_016899425.1|KEDGBJ_05983	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05983;GCF_053038975.1|AHCKDM_06687;GCF_053209605.1|GFFINM_06690;GCF_905400185.1|DKPOPA_07046;MF6|CFFIHE_04237;MF7|EFEKAH_00083
GCF_016899425.1|KEDGBJ_05984	6	6	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6;MF7	GCF_016899425.1|KEDGBJ_05984;GCF_053038975.1|AHCKDM_06688;GCF_053209605.1|GFFINM_06691;GCF_905400185.1|DKPOPA_07047;MF6|CFFIHE_04238;MF7|EFEKAH_00082
