GCF_021535065.1	0.2469
GCF_024662395.1	0.2440
GCF_000959525.1	0.2446
GCF_009730035.1	0.2450
GCF_018223785.1	0.2454
GCF_016698705.1	0.2422
GCF_003798245.1	0.2409
GCF_016889205.1	0.2443
GCF_001557535.2	0.3863
GCF_017815615.1	0.2434
GCF_018417535.1	0.2438
GCF_000959465.1	0.2440
GCF_001277895.1	0.2409
GCF_003286395.1	0.2511
GCF_024022955.1	0.2427
GCF_001975065.1	0.2403
GCF_002278075.1	0.2401
GCF_002111005.1	0.2395
GCF_008693525.1	0.2448
GCF_026652015.1	0.2427
GCF_037478035.1	0.5435
GCF_984668395.1	0.2445
GCF_016026055.1	0.2427
GCF_001718615.1	0.2413
GCF_023374655.1	0.2453
GCF_052855615.1	0.2398
GCF_011578485.1	0.2398
GCF_003711145.1	0.2463
GCF_001718635.1	0.2382
GCF_009931375.1	0.2430
GCF_984667835.1	0.2445
GCA_029762415.1	0.3298
GCF_023658595.1	0.2417
GCF_984668525.1	0.2447
GCF_965199395.1	0.2401
GCF_001293045.1	0.2395
GCF_021344035.2	0.2439
GCF_057587595.1	0.3119
GCF_000010545.1	0.2453
GCF_004526325.1	0.2407
GCF_051027425.1	0.2398
GCF_000092885.1	0.2383
GCF_050990595.1	0.2512
GCF_037478085.1	0.5427
GCF_000770565.1	0.2448
GCF_044501195.1	0.2443
GCF_037055255.1	0.2438
GCF_000011705.1	0.2477
GCF_000511895.1	0.2419
GCA_980298765.1	0.2495
GCF_001718915.1	0.2443
GCF_017858835.1	0.2430
GCF_023373665.1	0.2446
GCF_037477905.1	0.5426
GCF_026315005.1	0.2403
GCF_002346105.1	0.2544
GCF_030505635.1	0.2429
GCF_050627075.1	0.2396
GCF_012974245.1	0.2448
GCF_964264995.1	0.2441
GCF_052855315.1	0.2411
GCF_001922345.1	0.3079
GCF_024760645.1	0.2431
GCF_052854305.1	0.2394
GCF_984667955.1	0.2445
GCF_000755885.1	0.2452
GCF_007724625.1	0.2464
GCF_023374755.1	0.2447
GCF_013822785.1	0.2435
GCF_034424375.1	0.2790
GCF_016864355.1	0.2431
GCF_007556815.1	0.3837
GCF_020843945.1	0.2444
GCF_001742165.1	0.2466
GCF_051125545.1	0.2505
GCF_026651975.1	0.2427
GCF_055810255.1	0.2399
GCF_013307165.1	0.2433
GCF_023374435.1	0.2462
GCF_013122645.1	0.2436
GCF_052857015.1	0.2393
GCF_040314805.1	0.6763
GCF_048917655.1	0.2425
GCF_018408855.1	0.2690
GCF_037478075.1	0.5409
GCF_002111365.1	0.2405
GCF_004323035.1	0.2416
GCF_014211915.1	0.2491
GCF_029633645.1	0.2452
GCF_052857225.1	0.2400
GCF_001513745.1	0.2406
GCF_054166225.1	0.2399
GCF_023374415.1	0.2462
GCF_004367685.1	0.2416
GCF_009578005.1	0.2454
GCF_016598875.1	0.2432
GCF_047325075.1	0.2402
GCF_018228545.1	0.2408
GCF_003614835.1	0.2410
MF6	0.2444
GCF_000770495.1	0.2411
GCF_054166195.1	0.2392
GCF_000770455.1	0.2410
GCF_029536165.1	0.2768
GCF_002346005.1	0.2513
GCF_023374335.1	0.2459
GCF_024072715.1	0.2394
GCF_001522635.2	0.2409
GCF_040761425.1	0.2451
GCF_017220215.1	0.2661
GCF_000959345.1	0.2407
GCF_023373625.1	0.2451
GCF_054166155.1	0.2467
GCF_004367725.1	0.2410
GCF_000011545.1	0.2401
GCF_050632325.1	0.2456
GCF_000770515.1	0.2402
GCF_039728355.1	0.2457
GCF_001975145.1	0.2400
GCF_026315025.1	0.2418
GCF_056591095.1	0.2437
GCF_030078435.1	0.2441
GCF_053470145.1	0.2419
GCF_024663975.1	0.2427
GCF_019428685.1	0.3060
GCF_045925845.1	0.2463
GCF_026315045.1	0.2395
GCF_017378275.1	0.2424
GCF_052854315.1	0.2402
GCF_001718835.1	0.2462
GCF_964026365.1	0.2694
GCF_001532025.2	0.2411
GCF_001718855.1	0.2455
GCF_000961515.1	0.2396
GCF_053038975.1	0.2454
GCF_000959225.1	0.2403
GCF_000260515.1	0.2403
GCF_030297255.1	0.2403
GCF_000808035.2	0.2390
GCF_052854005.1	0.2406
GCA_965217235.1	0.2573
GCF_048565175.1	0.2415
GCF_023053515.1	0.2447
GCF_022533485.1	0.2441
GCF_024663615.1	0.2427
GCF_052854895.1	0.2395
GCF_024664035.1	0.2427
GCF_050632315.1	0.2465
GCF_050613125.1	0.2415
GCF_000292915.1	0.2461
GCF_000756145.1	0.2397
GCF_030316075.1	0.6629
GCF_003798365.1	0.2404
GCF_013426895.1	0.2391
GCF_049942845.1	0.2449
GCF_001524445.2	0.2406
GCF_003798265.1	0.2441
GCF_023169865.1	0.2384
GCF_024663255.1	0.2440
GCF_024732225.1	0.2444
GCF_002346045.1	0.2473
GCF_012689525.1	0.2407
GCF_018228625.1	0.2451
GCF_024663135.1	0.2434
GCF_000959265.1	0.2408
GCF_025643575.1	0.2463
GCF_000756025.1	0.2445
GCF_003368325.1	0.2399
GCF_024664095.1	0.2452
GCF_033675325.1	0.2478
GCF_020843925.1	0.2444
GCF_047497155.1	0.2465
GCF_000015605.1	0.2491
GCF_002111025.1	0.2398
GCF_002902925.1	0.2383
GCF_980300355.1	0.2393
GCF_052854615.1	0.2442
GCF_024072595.1	0.2393
GCA_017356705.2	0.2406
